text,sentiment
真是傑作啊,0.11
這什麼爛東西！這個直播,0.16
也就這樣，這個外送,0.36
這個介面還算ok,0.55
真的超讚der！這個平台,0.93
有優點也有缺點，這個平台,0.67
這個直播 好棒棒哦,0.35
真的是浪費時間！這個老師,0.17
你最厲害了,0.26
這不行啊！這個平台,0.07
這個博主踩雷了啦,0.15
太香了！這個系統,0.83
這個老師超級無敵讚,0.89
高手高手,0.34
這個平台真的是浪費時間,0.12
一般般，這個老師,0.33
這個功能湊合著用,0.44
這個老師真的是浪費時間,0.18
這家店也就這樣,0.37
這款APP還算ok,0.44
這個主播有優點也有缺點,0.61
整個無敵神！這個服務,0.78
這個主播太香了,0.84
真是傑作啊,0.14
真的很可以！這個直播,0.76
這個外送超級無敵讚,0.84
這款APP一般般,0.67
這個商品退錢啦,0.07
這個真心推薦！這款手機,0.85
這個課程根本是詐騙,0.22
看情況吧，這個設計,0.38
根本是智障設計！這款APP,0.24
這個博主這什麼爛東西,0.23
根本是智障設計！這款APP,0.14
這個服務難用死了,0.25
這款APP普普通通,0.37
這個設計 真是太有水準了,0.2
超級雷！這個更新,0.2
高手高手,0.1
這款手機還行吧,0.62
品質穩穩的！這個直播,0.78
看情況吧，這個遊戲,0.52
湊合著用，這個介面,0.43
也就這樣，這個商品,0.52
這個服務爛透了,0.11
根本就是救星！這個主播,0.93
這款手機這什麼爛東西,0.1
這款APP 沒錯就是這樣呢,0.14
這個商品還可以啦,0.65
不算差但也不算好，這個老師,0.52
氣死人了！這支影片,0.1
你最厲害了,0.16
推爆這個！這個設計,0.98
這個功能馬馬虎虎,0.53
太專業了吧,0.37
這個博主超級雷,0.26
我覺得很ok呢,0.36
真的是浪費時間！這個介面,0.11
這個設計用了就愛上,0.99
真是特別呢,0.32
你最棒了啦,0.2
退錢啦！這個服務,0.03
超級無敵讚！這個博主,0.78
普普通通，這家店,0.45
這個博主看情況吧,0.58
根本是智障設計！這款手機,0.1
這個博主這不行啊,0.29
隨便啦,0.3
這家店這不行啊,0.2
品質穩穩的！這個客服,0.91
這也太扯了吧！這個服務,0.06
真是太棒了呢,0.34
這個功能品質穩穩的,0.97
普普通通，這個遊戲,0.48
這個服務看情況吧,0.53
這個設計這什麼爛東西,0.2
這個課程爛透了,0.06
根本是詐騙！這個設計,0.12
這個真心推薦！這款APP,0.89
還行吧，這個主播,0.65
這也太扯了吧！這個介面,0.21
用了就愛上！這個外送,0.77
爛透了啦！這個介面,0.29
好啦隨便你,0.29
哇塞厲害了,0.36
根本是智障設計！這家店,0.14
不算差但也不算好，這個更新,0.63
推爆這個！這款手機,0.71
超級雷！這個功能,0.21
這個博主 你最厲害了,0.24
整個無敵神！這個商品,0.99
也就這樣，這款APP,0.65
這款手機 真是特別呢,0.26
這家店爛透了,0.06
根本離不開了！這款APP,0.87
哇塞厲害了,0.17
你最厲害了,0.23
這款手機爛透了啦,0.09
氣死人了！這個老師,0.09
太香了！這個平台,0.74
難用死了！這個介面,0.13
這個博主不算差但也不算好,0.3
退錢啦！這支影片,0.16
有優點也有缺點，這個平台,0.41
這個直播也就這樣,0.51
見仁見智吧，這個老師,0.67
這個系統完全不推好吧,0.04
可以考慮，這個商品,0.34
根本是詐騙！這個更新,0.16
這個商品看情況吧,0.53
爛透了啦！這支影片,0.11
這個商品不算差但也不算好,0.65
這個平台普普通通,0.57
我直接吹爆！這個外送,0.81
這款APP真的很可以,0.74
見仁見智吧，這個主播,0.55
難用死了！這個遊戲,0.15
這款APP一般般,0.33
超級無敵讚！這個服務,0.74
一般般，這個更新,0.33
是是是你說得對,0.36
這個商品湊合著用,0.49
哇塞厲害了,0.4
隨便啦,0.36
這個服務難用死了,0.16
簡直是神器！這個遊戲,0.94
真是太有水準了,0.16
真的超讚der！這個課程,0.78
真是太棒了呢,0.29
真的是浪費時間！這個課程,0.08
這個客服 我覺得很ok呢,0.11
簡直是神器！這個更新,0.78
不算差但也不算好，這款APP,0.61
好啦隨便你,0.21
你最厲害了,0.29
品質穩穩的！這個課程,0.96
我也是這樣覺得呢,0.18
這款APP簡直是神器,0.9
用了就愛上！這個老師,0.99
這個外送品質穩穩的,0.94
這個老師根本是智障設計,0.09
這款手機看情況吧,0.58
這個設計根本就是救星,0.83
這個遊戲太香了,0.88
太香了！這個介面,0.7
這個功能這不行啊,0.17
好啦隨便你,0.33
見仁見智吧，這個更新,0.7
這個系統根本就是救星,0.97
這款手機 真是太棒了呢,0.27
見仁見智吧，這款手機,0.65
真是傑作啊,0.39
高手高手,0.39
根本是智障設計！這個直播,0.23
哇塞厲害了,0.36
這個系統這個真心推薦,0.77
這家店我直接吹爆,0.87
真的超讚der！這個課程,0.83
我覺得很ok呢,0.32
爛透了啦！這個老師,0.18
這個遊戲真的很可以,0.86
有優點也有缺點，這個介面,0.49
這支影片還行吧,0.54
這個功能完全不推好吧,0.02
這個老師超大雷,0.25
這也太扯了吧！這個功能,0.18
這支影片見仁見智吧,0.59
超級雷！這個介面,0.06
反正你最厲害,0.29
超級無敵讚！這個直播,0.97
這家店 你最棒了啦,0.37
根本離不開了！這個主播,0.91
我覺得很ok呢,0.39
根本離不開了！這個介面,0.86
爛透了！這個直播,0.16
這什麼爛東西！這個商品,0.18
還行吧，這個介面,0.46
太專業了吧,0.38
看情況吧，這家店,0.63
這個設計爛透了啦,0.02
根本就是救星！這個博主,0.91
推爆這個！這個介面,0.87
這家店這什麼爛東西,0.25
爛透了！這個直播,0.24
一般般，這款手機,0.67
這個系統整個無敵神,0.84
有優點也有缺點，這個博主,0.48
我也是這樣覺得呢,0.3
還行吧，這個系統,0.48
根本是智障設計！這個商品,0.17
這個更新 隨便啦,0.14
還算ok，這個平台,0.33
推爆這個！這個系統,0.85
超級雷！這支影片,0.04
這個客服整個無敵神,0.93
我覺得很ok呢,0.19
這個老師 隨便啦,0.33
這個介面將就了,0.52
這個課程爛透了啦,0.11
這個服務 反正你最厲害,0.1
這個功能 你最棒了啦,0.19
有優點也有缺點，這款APP,0.52
根本就是救星！這個介面,0.77
這個平台根本離不開了,0.95
這款APP可以考慮,0.37
這家店待觀察,0.43
高手高手,0.22
還算ok，這個遊戲,0.4
這個老師踩雷了啦,0.19
這個主播完全看不出有什麼缺點,0.89
超級雷！這個商品,0.16
這個主播根本是詐騙,0.09
沒錯就是這樣呢,0.25
整個無敵神！這個平台,0.85
用了就愛上！這個平台,0.9
你最厲害了,0.36
這個系統根本離不開了,0.79
也就這樣，這個平台,0.64
不算差但也不算好，這個客服,0.5
這個商品根本是智障設計,0.16
真是傑作啊,0.3
這個功能品質穩穩的,0.99
這個外送也就這樣,0.55
真是太有水準了,0.14
你最厲害了,0.29
這個直播 你最棒了啦,0.28
完全看不出有什麼缺點！這個功能,0.77
這個商品退錢啦,0.18
太香了！這個設計,0.88
太專業了吧,0.25
這個直播我直接吹爆,0.99
這個客服一般般,0.64
根本就是救星！這款手機,0.76
好棒棒哦,0.26
這家店這什麼爛東西,0.01
待觀察，這個更新,0.69
這個服務有優點也有缺點,0.51
真的超讚der！這個老師,0.83
這支影片完全不推好吧,0.22
簡直是神器！這個平台,0.87
這也太扯了吧！這支影片,0.22
根本離不開了！這個介面,0.85
這個服務還算ok,0.58
這個外送根本就是救星,0.87
沒錯就是這樣呢,0.38
完全不推好吧！這個功能,0.25
我也是這樣覺得呢,0.28
這個主播 高手高手,0.12
這個真心推薦！這個課程,0.8
真的是浪費時間！這個遊戲,0.21
也就這樣，這支影片,0.45
這個博主也就這樣,0.35
這個課程 沒錯就是這樣呢,0.2
這個遊戲爛透了啦,0.23
高手高手,0.22
這個設計還可以啦,0.54
這款手機超級雷,0.09
真的是浪費時間！這個主播,0.14
誰理你啊,0.12
反正你最厲害,0.24
這個遊戲 我也是這樣覺得呢,0.18
用了就愛上！這個系統,0.71
完全看不出有什麼缺點！這個客服,0.82
這個課程有優點也有缺點,0.39
這個老師這什麼爛東西,0.15
不算差但也不算好，這個客服,0.41
隨便啦,0.32
這個平台太強了吧,0.7
看情況吧，這個系統,0.45
普普通通，這個平台,0.59
氣死人了！這個服務,0.19
這個更新根本就是救星,0.94
還算ok，這個系統,0.69
品質穩穩的！這家店,0.88
待觀察，這個功能,0.51
哇塞厲害了,0.32
有優點也有缺點，這個直播,0.49
品質穩穩的！這個老師,0.83
這個系統馬馬虎虎,0.37
還算ok，這個課程,0.47
這個商品完全看不出有什麼缺點,0.99
太強了吧！這個課程,0.84
好厲害喔,0.17
這個功能馬馬虎虎,0.49
完全看不出有什麼缺點！這個功能,0.98
你最厲害了,0.23
是是是你說得對,0.16
這款手機也就這樣,0.68
用了就愛上！這個功能,0.84
將就了，這個外送,0.45
這支影片太強了吧,0.9
一般般，這個課程,0.42
待觀察，這個博主,0.53
這個更新太強了吧,0.99
退錢啦！這個外送,0.07
真是特別呢,0.34
品質穩穩的！這個直播,0.82
真是太棒了呢,0.38
這款手機根本離不開了,0.8
那你很厲害哦,0.11
這個更新 好啦隨便你,0.35
這個客服將就了,0.51
你最棒了啦,0.2
這個系統整個無敵神,0.82
這個遊戲爛透了啦,0.11
這款手機退錢啦,0.1
這個客服 反正你最厲害,0.37
將就了，這個服務,0.58
退錢啦！這款APP,0.25
這個系統 你最棒了啦,0.19
這個服務 好棒棒哦,0.34
這個服務踩雷了啦,0.1
這個客服這也太扯了吧,0.0
這支影片可以考慮,0.38
根本是智障設計！這個博主,0.01
這個主播根本是詐騙,0.16
整個無敵神！這個平台,0.84
太專業了吧,0.29
真的很可以！這個遊戲,0.87
我也是這樣覺得呢,0.27
簡直是神器！這個平台,0.94
這個介面一般般,0.43
哇塞厲害了,0.23
爛透了！這個更新,0.18
這個老師 你最厲害了,0.16
湊合著用，這個設計,0.32
這個更新真的很可以,0.8
可以考慮，這個商品,0.49
這個老師太強了吧,0.77
這個服務太強了吧,0.8
這款APP推爆這個,0.78
這個直播 你最棒了啦,0.13
根本是詐騙！這個直播,0.29
這家店推爆這個,0.7
這個更新太香了,0.91
太專業了吧,0.33
這個博主 真是特別呢,0.3
待觀察，這個遊戲,0.53
這個客服爛透了啦,0.24
見仁見智吧，這支影片,0.52
沒錯就是這樣呢,0.31
真的是浪費時間！這個系統,0.2
那你很厲害哦,0.28
真的是浪費時間！這個主播,0.12
太強了吧！這個課程,0.97
這不行啊！這個直播,0.15
好厲害喔,0.3
這個客服用了就愛上,0.87
你最棒了啦,0.29
完全看不出有什麼缺點！這個外送,0.76
這個主播太強了吧,0.93
這個服務 真是傑作啊,0.32
這個遊戲真的是浪費時間,0.26
真的是浪費時間！這款APP,0.08
太專業了吧,0.11
這個設計有優點也有缺點,0.62
這個商品真的超讚der,0.84
這個介面 好棒棒哦,0.11
好棒棒哦,0.14
這個服務 哇塞厲害了,0.14
真的是浪費時間！這個介面,0.19
這款手機看情況吧,0.38
超級雷！這家店,0.03
太香了！這個設計,0.98
根本就是救星！這支影片,0.91
爛透了！這款手機,0.28
真的很可以！這家店,0.83
這支影片氣死人了,0.04
將就了，這個主播,0.64
這個客服不算差但也不算好,0.58
好棒棒哦,0.26
你最厲害了,0.16
這個外送普普通通,0.5
是是是你說得對,0.14
見仁見智吧，這個客服,0.32
這個設計見仁見智吧,0.48
好厲害喔,0.15
難用死了！這個功能,0.02
真的超讚der！這個更新,0.78
你最厲害了,0.27
這個商品根本是詐騙,0.22
這個更新馬馬虎虎,0.57
反正你最厲害,0.35
這個老師真的是浪費時間,0.15
這個真心推薦！這個服務,0.92
超級無敵讚！這個商品,0.75
這個直播還算ok,0.39
這個設計還可以啦,0.43
超級雷！這個功能,0.0
這個商品這不行啊,0.25
你最厲害了,0.3
馬馬虎虎，這個介面,0.39
有優點也有缺點，這個服務,0.36
哇塞厲害了,0.24
爛透了啦！這個外送,0.29
也就這樣，這個系統,0.65
用了就愛上！這個直播,0.77
根本是智障設計！這個課程,0.03
這個服務爛透了,0.17
這個老師推爆這個,0.74
