text,sentiment,type
簡直是神器！這個老師,0.96,positive
這個博主真是特別呢,0.26,sarcastic
這個客服根本就是救星,0.85,positive
這個外送將就了,0.57,neutral
這款手機好啦隨便你,0.27,sarcastic
這個遊戲還行吧,0.31,neutral
根本離不開了！這個直播,0.77,positive
這個客服還行啦,0.41,neutral
將就了！這個外送,0.46,neutral
還好啦！這個社群,0.62,neutral
這個外送還算ok,0.43,neutral
完全沒話說！這個更新,0.71,positive
可不就是這樣,0.19,sarcastic
這個設計真的超讚der,0.79,positive
凱子啦！這個介面,0.55,neutral
這個平台讚到爆炸,0.71,positive
這個老師還行啦,0.43,neutral
完全不推好吧！這個商品,0.23,negative
這個功能也就這樣,0.4,neutral
這家餐廳我直接吹爆,0.9,positive
這個遊戲完全沒話說,0.94,positive
你最厲害了,0.11,sarcastic
這個社群真的超讚der,0.86,positive
難用死了！這個社群,0.18,negative
真的很可以！這個系統,0.74,positive
這款手機將就了,0.65,neutral
這款手機這也太扯了吧,0.19,negative
whatever啦,0.38,sarcastic
退錢啦！這個直播,0.12,negative
這個設計一般般,0.33,neutral
你最厲害了,0.12,sarcastic
看你要怎麼想！這個老師,0.62,neutral
好用到哭！這個遊戲,1.0,positive
也就這樣！這個博主,0.55,neutral
完全看不出有什麼缺點！這款APP,0.94,positive
難用死了！這個主播,0.12,negative
這個社群真是特別呢,0.11,sarcastic
爛透了啦！這個更新,0.24,negative
太專業了吧,0.11,sarcastic
根本垃圾！這個配送,0.23,negative
好啦隨便你,0.39,sarcastic
還行吧！這個平台,0.49,neutral
這款APP超級雷,0.2,negative
這個遊戲還可以啦,0.67,neutral
好厲害喔,0.14,sarcastic
退錢啦！這個服務,0.05,negative
完全沒話說！這個老師,0.74,positive
這個外送超大雷,0.13,negative
太專業了吧！這款APP,0.12,sarcastic
這款手機根本垃圾,0.02,negative
這個版本有優點也有缺點,0.51,neutral
這款APP有夠糟糕,0.1,negative
超級無敵讚！這個博主,0.88,positive
還行吧！這家餐廳,0.32,neutral
普通啦！這個設計,0.5,neutral
這個老師超級棒的啦,0.86,positive
這個功能這也太扯了吧,0.1,negative
看你要怎麼想！這個課程,0.46,neutral
嗯哼,0.19,sarcastic
這個更新還行吧,0.61,neutral
反正你最厲害,0.1,sarcastic
還行吧！這個客服,0.36,neutral
這個版本退錢啦,0.11,negative
哇塞厲害了,0.13,sarcastic
還算ok！這個老師,0.67,neutral
反正你最厲害,0.15,sarcastic
好啦隨便你！這個老師,0.2,sarcastic
真是太有水準了,0.32,sarcastic
這個系統這個真心推薦,0.73,positive
完全看不出有什麼缺點！這個主播,0.83,positive
馬馬虎虎！這個老師,0.39,neutral
有夠糟糕！這個功能,0.17,negative
這個商品完全沒話說,0.74,positive
真的超讚der！這個老師,0.78,positive
真是太有水準了！這個社群,0.34,sarcastic
這家餐廳普普通通,0.37,neutral
這不行啊！這個主播,0.27,negative
這個平台爛透了,0.19,negative
這個系統也就這樣,0.61,neutral
有夠糟糕！這款APP,0.25,negative
這個系統簡直是神器,0.97,positive
太強了吧！這個平台,0.77,positive
沒錯就是這樣呢,0.36,sarcastic
誰理你啊,0.37,sarcastic
這個直播完全沒話說,0.9,positive
好啦隨便你,0.33,sarcastic
真是傑作啊,0.37,sarcastic
一般般！這個版本,0.33,neutral
whatever啦！這個配送,0.1,sarcastic
whatever啦,0.24,sarcastic
好厲害喔,0.16,sarcastic
這個服務根本是智障設計,0.09,negative
這個設計完全看不出有什麼缺點,1.0,positive
真是太棒了呢！這個版本,0.19,sarcastic
這不行啊！這家店,0.27,negative
這個商品看你要怎麼想,0.35,neutral
還行吧！這個系統,0.69,neutral
完全看不出有什麼缺點！這個博主,0.91,positive
這個課程真的超讚der,0.78,positive
真是太棒了呢！這個博主,0.39,sarcastic
這個系統將就了,0.6,neutral
是是是你說得對,0.4,sarcastic
這個版本還行啦,0.41,neutral
這家餐廳根本是智障設計,0.04,negative
這家餐廳有夠糟糕,0.14,negative
這個直播讚到爆炸,0.95,positive
不推不推！這個遊戲,0.29,negative
好用到哭！這款APP,0.88,positive
這個商品讚到爆炸,0.96,positive
這個課程見仁見智吧,0.68,neutral
可不就是這樣,0.36,sarcastic
完全沒話說！這個版本,0.73,positive
這個博主見仁見智吧,0.46,neutral
是是是你說得對,0.1,sarcastic
好棒棒哦！這個遊戲,0.24,sarcastic
超乎期待！這個服務,0.95,positive
這款手機whatever啦,0.37,sarcastic
這個博主見仁見智吧,0.69,neutral
這個版本待觀察,0.34,neutral
太誇張了吧！這個遊戲,0.05,negative
根本是智障設計！這個平台,0.07,negative
退錢啦！這個博主,0.11,negative
我也是這樣覺得呢,0.34,sarcastic
這家餐廳看你要怎麼想,0.48,neutral
這個系統這不行啊,0.24,negative
這個配送這什麼爛東西,0.11,negative
這不行啊！這個遊戲,0.29,negative
這個商品見仁見智吧,0.4,neutral
將就了！這個配送,0.48,neutral
還算ok！這家餐廳,0.34,neutral
還好啦！這款APP,0.68,neutral
這什麼爛東西！這個介面,0.09,negative
這個版本真的很可以,0.74,positive
你最厲害了,0.29,sarcastic
這個更新普普通通,0.34,neutral
推爆這個！這個課程,0.96,positive
這個課程還可以啦,0.55,neutral
你最厲害了,0.19,sarcastic
用了就愛上！這家餐廳,0.95,positive
好棒棒哦,0.26,sarcastic
難用死了！這個設計,0.18,negative
你最厲害了,0.2,sarcastic
這個服務whatever啦,0.33,sarcastic
這個老師超大雷,0.28,negative
可以考慮！這款手機,0.5,neutral
踩雷了啦！這個功能,0.2,negative
我也是這樣覺得呢,0.12,sarcastic
真的是浪費時間！這個客服,0.06,negative
這個更新將就了,0.65,neutral
哇塞厲害了,0.15,sarcastic
這個客服這什麼爛東西,0.18,negative
這個社群好用到哭,0.78,positive
看你要怎麼想！這個設計,0.62,neutral
太香了！這個遊戲,0.9,positive
難用死了！這個功能,0.07,negative
這個遊戲踩雷了啦,0.23,negative
這個外送湊合著用,0.37,neutral
整個無敵神！這個版本,0.73,positive
推爆這個！這款手機,0.72,positive
也就這樣！這個介面,0.3,neutral
反正你最厲害！這個服務,0.3,sarcastic
這個博主這個真心推薦,0.94,positive
太強了吧！這個功能,0.72,positive
可不就是這樣,0.3,sarcastic
這個平台普通啦,0.65,neutral
沒錯就是這樣呢,0.2,sarcastic
這個更新不算差但也不算好,0.53,neutral
真是太棒了呢,0.38,sarcastic
還行吧！這個功能,0.35,neutral
好啦隨便你,0.11,sarcastic
這個配送馬馬虎虎,0.43,neutral
還可以啦！這支影片,0.48,neutral
看情況吧！這支影片,0.56,neutral
你最厲害了,0.37,sarcastic
這個社群根本是詐騙,0.24,negative
嗯哼,0.32,sarcastic
難用死了！這個設計,0.29,negative
真是太棒了呢,0.24,sarcastic
太香了！這個功能,0.99,positive
一般般！這個服務,0.31,neutral
反正你最厲害,0.14,sarcastic
這個功能超級雷,0.01,negative
這個設計真是傑作啊,0.21,sarcastic
這款APP超大雷,0.02,negative
真的超讚der！這個服務,1.0,positive
普普通通！這個版本,0.37,neutral
退錢啦！這個商品,0.26,negative
這個外送用了就愛上,0.72,positive
這款APP還好啦,0.33,neutral
這家餐廳根本就是救星,0.81,positive
根本垃圾！這款APP,0.12,negative
這個設計氣死人了,0.08,negative
哇塞厲害了,0.14,sarcastic
這個直播讚到爆炸,0.88,positive
這家店哇塞厲害了,0.12,sarcastic
這款手機看你要怎麼想,0.35,neutral
這個老師也就這樣,0.4,neutral
這個介面還行吧,0.43,neutral
這個課程不算差但也不算好,0.57,neutral
這個更新真的很可以,0.91,positive
這個平台反正你最厲害,0.16,sarcastic
可不就是這樣,0.3,sarcastic
你最棒了啦,0.21,sarcastic
這個主播根本就是救星,0.82,positive
這個社群好用到哭,0.83,positive
就醬子吧,0.36,sarcastic
這個博主太香了,0.78,positive
是是是你說得對！這個遊戲,0.16,sarcastic
哇塞厲害了！這個客服,0.31,sarcastic
你最棒了啦！這個社群,0.1,sarcastic
這個服務這也太扯了吧,0.11,negative
爛透了！這個商品,0.09,negative
待觀察！這個版本,0.36,neutral
待觀察！這個外送,0.42,neutral
看情況吧！這個課程,0.48,neutral
這個遊戲太強了吧,0.84,positive
隨便啦,0.14,sarcastic
完全沒話說！這個客服,0.91,positive
哇塞厲害了,0.35,sarcastic
這款APP氣死人了,0.27,negative
太誇張了吧！這個老師,0.03,negative
馬馬虎虎！這個更新,0.34,neutral
這個客服普通啦,0.7,neutral
就醬子吧,0.25,sarcastic
好用到哭！這個老師,0.85,positive
這個遊戲這不行啊,0.19,negative
好用到哭！這個遊戲,0.74,positive
這個平台你最厲害了,0.27,sarcastic
真的超讚der！這個直播,0.76,positive
看情況吧！這個主播,0.53,neutral
這個版本真是傑作啊,0.23,sarcastic
太強了吧！這個老師,0.78,positive
這個直播難用死了,0.05,negative
這支影片完全不推好吧,0.11,negative
這個課程這不行啊,0.23,negative
這家店氣死人了,0.05,negative
完全不推好吧！這個直播,0.27,negative
我直接吹爆！這個設計,1.0,positive
真的超讚der！這款APP,0.71,positive
嗯哼,0.24,sarcastic
好棒棒哦,0.24,sarcastic
我覺得很ok呢,0.14,sarcastic
這個直播還可以啦,0.45,neutral
這個課程將就了,0.54,neutral
真是太有水準了,0.26,sarcastic
有夠糟糕！這個商品,0.12,negative
是是是你說得對,0.2,sarcastic
我也是這樣覺得呢,0.36,sarcastic
厲害了我的哥,0.23,sarcastic
我覺得很ok呢,0.39,sarcastic
這個外送有優點也有缺點,0.61,neutral
這個課程我直接吹爆,0.74,positive
完全沒話說！這個功能,0.76,positive
這個功能真是太棒了呢,0.3,sarcastic
這個平台好用到哭,0.72,positive
超級無敵讚！這個主播,0.89,positive
高手高手！這個商品,0.32,sarcastic
哇塞厲害了,0.36,sarcastic
這支影片一般般,0.55,neutral
這個服務完全不推好吧,0.17,negative
這個系統太香了,0.87,positive
一般般！這個功能,0.3,neutral
真是特別呢,0.31,sarcastic
完全沒話說！這個配送,0.97,positive
讚到爆炸！這個外送,0.93,positive
是是是你說得對,0.15,sarcastic
也就這樣！這個配送,0.57,neutral
這個平台超大雷,0.15,negative
這款APP這什麼爛東西,0.3,negative
一般般！這個版本,0.67,neutral
這個社群超級雷,0.04,negative
不推不推！這個配送,0.21,negative
太強了吧！這家餐廳,0.75,positive
可不就是這樣,0.29,sarcastic
超級雷！這個商品,0.17,negative
超級雷包！這支影片,0.04,negative
不推不推！這個老師,0.08,negative
超大雷！這個直播,0.21,negative
這個介面完全看不出有什麼缺點,0.74,positive
這個服務品質穩穩的,1.0,positive
爛透了！這款APP,0.05,negative
這個社群好啦隨便你,0.15,sarcastic
這個系統不推不推,0.21,negative
真的超讚der！這個社群,0.92,positive
根本是詐騙！這個配送,0.24,negative
根本垃圾！這個主播,0.01,negative
隨便啦！這個遊戲,0.36,sarcastic
好用到哭！這個平台,0.91,positive
這個配送太誇張了吧,0.12,negative
超乎期待！這個社群,0.89,positive
這個主播還好啦,0.38,neutral
完全沒話說！這個配送,0.83,positive
這個直播馬馬虎虎,0.43,neutral
見仁見智吧！這個配送,0.38,neutral
這個服務根本是詐騙,0.17,negative
whatever啦,0.37,sarcastic
用了就愛上！這個配送,0.85,positive
好啦隨便你,0.24,sarcastic
還行啦！這個系統,0.51,neutral
看你要怎麼想！這家餐廳,0.66,neutral
超乎期待！這個遊戲,0.81,positive
這個社群有優點也有缺點,0.58,neutral
太專業了吧,0.28,sarcastic
還可以啦！這個遊戲,0.4,neutral
退錢啦！這個介面,0.17,negative
也就這樣！這個版本,0.63,neutral
沒錯就是這樣呢,0.23,sarcastic
這個系統真的超讚der,0.8,positive
這個課程有夠糟糕,0.08,negative
這個主播見仁見智吧,0.42,neutral
看你要怎麼想！這個社群,0.66,neutral
這個功能不推不推,0.16,negative
超級無敵讚！這款APP,0.93,positive
根本垃圾！這款手機,0.08,negative
爛透了！這個更新,0.15,negative
太誇張了吧！這個更新,0.12,negative
這個博主完全不推好吧,0.17,negative
這個老師好啦隨便你,0.19,sarcastic
見仁見智吧！這個客服,0.54,neutral
誰理你啊,0.28,sarcastic
這個直播超大雷,0.17,negative
爛透了！這家餐廳,0.06,negative
根本就是救星！這個老師,0.81,positive
這個直播根本垃圾,0.28,negative
這個老師完全沒話說,0.95,positive
超級雷包！這個客服,0.16,negative
好棒棒哦,0.31,sarcastic
這家餐廳根本是智障設計,0.2,negative
你最厲害了,0.22,sarcastic
這個老師看情況吧,0.34,neutral
我直接吹爆！這個功能,0.86,positive
真是特別呢,0.19,sarcastic
整個無敵神！這個博主,0.92,positive
看情況吧！這支影片,0.64,neutral
真是傑作啊,0.26,sarcastic
這個博主不推不推,0.28,negative
有夠糟糕！這家餐廳,0.1,negative
太強了吧！這個博主,0.8,positive
見仁見智吧！這個社群,0.38,neutral
太香了！這個商品,0.85,positive
這個外送超大雷,0.27,negative
whatever啦,0.19,sarcastic
那你很厲害哦,0.29,sarcastic
真的是浪費時間！這個功能,0.11,negative
還好啦！這家店,0.4,neutral
這個設計好用到哭,0.85,positive
不推不推！這個版本,0.22,negative
你最棒了啦,0.17,sarcastic
這家餐廳好用到哭,0.74,positive
我也是這樣覺得呢！這個更新,0.3,sarcastic
這個客服根本離不開了,0.86,positive
可不就是這樣,0.29,sarcastic
真的超讚der！這家餐廳,0.81,positive
這個老師完全看不出有什麼缺點,0.9,positive
爛透了啦！這款APP,0.04,negative
品質穩穩的！這個介面,0.72,positive
這個系統太香了,0.87,positive
凱子啦！這個客服,0.47,neutral
見仁見智吧！這個遊戲,0.4,neutral
一般般！這個博主,0.7,neutral
普普通通！這個外送,0.45,neutral
厲害了我的哥,0.12,sarcastic
這個遊戲有優點也有缺點,0.46,neutral
是是是你說得對！這個外送,0.16,sarcastic
根本垃圾！這個外送,0.25,negative
這個系統爛透了啦,0.01,negative
超乎期待！這個配送,0.91,positive
超乎期待！這個直播,0.97,positive
這款APP簡直是神器,0.71,positive
這個更新見仁見智吧,0.57,neutral
這個配送真的超讚der,0.78,positive
超級雷包！這個課程,0.14,negative
還好啦！這支影片,0.63,neutral
不推不推！這個設計,0.28,negative
這支影片有夠糟糕,0.05,negative
這個課程讚到爆炸,0.73,positive
太強了吧！這個商品,0.87,positive
哇塞厲害了,0.2,sarcastic
這個服務還行啦,0.5,neutral
一般般！這個遊戲,0.3,neutral
是是是你說得對,0.32,sarcastic
這個老師品質穩穩的,0.98,positive
這個老師超級雷包,0.26,negative
根本是智障設計！這個課程,0.16,negative
超大雷！這個平台,0.03,negative
見仁見智吧！這個外送,0.55,neutral
這款手機不算差但也不算好,0.32,neutral
這款手機好用到哭,0.83,positive
完全看不出有什麼缺點！這個外送,0.97,positive
這款手機完全不推好吧,0.0,negative
不算差但也不算好！這家店,0.66,neutral
完全看不出有什麼缺點！這個直播,0.96,positive
這個配送還行啦,0.61,neutral
這個平台超乎期待,0.82,positive
我覺得很ok呢,0.32,sarcastic
這個版本難用死了,0.2,negative
根本垃圾！這款手機,0.04,negative
根本是詐騙！這家餐廳,0.17,negative
太香了！這個老師,0.97,positive
這個商品用了就愛上,0.77,positive
